a,b,b,b,b,b,b,b,b,c,c,c,c,c
win,pace,ftPercent,2PtPercent,3PtPercent,offRebPercent,defRebPercent,assistPercent,blockPercent,ftPercent,2PtPercent,3PtPercent,assistPercent,blockPercent
0,79.0786,74.3286,47.3857,33.4786,29.9714,65.3929,50.6,4.31429,79.0312,49.8688,32.5687,64.0875,13.0875
0,67.8333,64.0467,41.86,31.78,31.0667,65.54,53.4133,8.3,79.0312,49.8688,32.5687,64.0875,13.0875
1,67.6048,73.3857,45.181,41.0048,32.919,66.6667,61.2571,10.0429,70.7714,51.1857,33.4214,72.3071,9.61429
0,70.4875,78.4125,50.3875,33.3125,35.4437,72.6438,59.7438,6.55625,70.7714,51.1857,33.4214,72.3071,9.61429
0,70.3143,66.7143,43.9786,28.6571,37.0357,70.0214,48.9286,5.89286,70.7714,51.1857,33.4214,72.3071,9.61429
0,76.4706,67.1118,46.7588,33.1765,33.9647,67.3294,53.3294,15.9471,70.7714,51.1857,33.4214,72.3071,9.61429
0,71.4286,73.2,39.7143,30.45,20.6,66.4,50.5714,8.52857,70.7714,51.1857,33.4214,72.3071,9.61429
1,74.7722,69.4889,53.95,35.8778,44.1333,68.2,55.8556,10.5389,70.7714,51.1857,33.4214,72.3071,9.61429
1,74.7722,69.4889,53.95,35.8778,44.1333,68.2,55.8556,10.5389,70.7714,51.1857,33.4214,72.3071,9.61429
0,70.1588,74.8412,48.3471,40.4059,32.8824,66.3882,57.6588,8.81765,70.7714,51.1857,33.4214,72.3071,9.61429
0,74.4692,63.8923,45.3462,30.3231,26.4923,66.9846,65.5,5.76923,70.7714,51.1857,33.4214,72.3071,9.61429
0,75.24,69.78,38.1133,31.3667,37.5533,62.1933,48.58,6.66667,70.7714,51.1857,33.4214,72.3071,9.61429
0,70.1125,61.35,39.4313,26.925,35.1063,65.4688,61.1875,6.7375,70.7714,51.1857,33.4214,72.3071,9.61429
1,70.675,68.87,53.02,37.91,35.13,70.715,59.665,10.325,70.7714,51.1857,33.4214,72.3071,9.61429
1,71.825,71.8812,50.6437,31.2938,35.0187,68.5188,72.0687,11.4375,72.925,48.6625,29.5813,67.8938,9.59375
1,69.8313,70.2937,44.2313,39.0312,27.3813,65.5938,53.6188,6.46875,72.925,48.6625,29.5813,67.8938,9.59375
1,69.8313,70.2937,44.2313,39.0312,27.3813,65.5938,53.6188,6.46875,72.925,48.6625,29.5813,67.8938,9.59375
1,69.5437,66.6125,45.3812,25.825,37.6375,62.0312,57.6,11.0375,72.925,48.6625,29.5813,67.8938,9.59375
0,67.0588,72.7294,43.3,33.9647,32.5882,68.2824,62.8118,11.5941,72.925,48.6625,29.5813,67.8938,9.59375
1,71.6474,69.0737,47.4895,30.9421,38.9053,68.4158,51.9053,8.77895,72.925,48.6625,29.5813,67.8938,9.59375
0,70.725,72.675,48.3125,41.1063,37.4938,72.4125,53.9562,8.9875,72.925,48.6625,29.5813,67.8938,9.59375
1,69.0062,64.5312,46.8875,36.2125,34.3312,68.275,61.0562,11.1562,72.925,48.6625,29.5813,67.8938,9.59375
0,67.9067,66.8733,42.5467,30.4133,28.7733,70.02,56.08,5.06667,72.925,48.6625,29.5813,67.8938,9.59375
0,71.9421,77.1105,57.8053,34.1789,28.3158,67.2789,71.0158,7.04737,72.4437,51.0563,38.4875,73.325,8.425
0,65.8824,67.1588,44.7706,29.4824,38.0647,67.0824,59.1941,11.4353,72.4437,51.0563,38.4875,73.325,8.425
0,71.2684,74.8789,44.5579,34.1632,25.8947,70.3316,46.2895,7.11053,72.4437,51.0563,38.4875,73.325,8.425
0,71.3667,75.4917,43.4,30.9167,25.8083,69.05,50.0083,6.48333,72.4437,51.0563,38.4875,73.325,8.425
1,71.7714,63.2786,43.6429,35.2,26.3929,70.6786,57.2714,12.1214,72.4437,51.0563,38.4875,73.325,8.425
0,71.5154,67.3308,42.4692,31.4077,27.8231,65.5308,54.2,10.4462,72.4437,51.0563,38.4875,73.325,8.425
0,67.0579,63.4263,40.0684,30.6947,31.0895,65.3316,48.7316,10.0263,72.4437,51.0563,38.4875,73.325,8.425
0,73.4765,67.6235,50.0294,32.8235,39.6529,69.2412,59.5353,13.4118,72.4437,51.0563,38.4875,73.325,8.425
1,73.4765,67.6235,50.0294,32.8235,39.6529,69.2412,59.5353,13.4118,72.4437,51.0563,38.4875,73.325,8.425
0,70.315,69.07,47.28,33.635,35.8,68.25,58.615,9.07,72.4437,51.0563,38.4875,73.325,8.425
0,70.1308,72.6923,44.4231,35.6231,32.7769,70.1077,47.7769,6.86154,72.4437,51.0563,38.4875,73.325,8.425
