-15.937166,0.057764,0.037231,0.29189,0.135221,0.020748,0.117887,0.024075,-0.00406,-0.050704,-0.283961,-0.08978,0.002099,0.093431,,,,,,,,,,,,,,,,,,,,
win,pace,ftPercent,2PtPercent,3PtPercent,offRebPercent,defRebPercent,assistPercent,blockPercent,ftPercent,2PtPercent,3PtPercent,assistPercent,blockPercent,pace,ftPercent,2PtPercent,3PtPercent,offRebPercent,defRebPercent,assistPercent,blockPercent,ftPercent,2PtPercent,3PtPercent,assistPercent,blockPercent,Step 1,EXP,STEP 2,Prediction,Success,,Accuracy
0,71.4563,73.2438,51.1562,28.325,33.7,69.275,64.2937,10.3562,75.4722,48.6611,30.3222,50.8778,6.63333,4.127601713,2.726939918,14.93198322,3.830134825,0.6992076,8.166621925,1.547870828,-0.042046172,-3.826742429,-13.81785462,-2.722327116,0.106792502,0.619758655,0.41077485,1.507985795,0.601273659,1,0,,67.90%
1,70.9071,75.8429,47.1929,32.9143,29.4143,72.5429,60.15,7.81429,75.4722,48.6611,30.3222,50.8778,6.63333,4.095877724,2.82370701,13.77513558,4.45070456,0.610287896,8.551864852,1.44811125,-0.031726017,-3.826742429,-13.81785462,-2.722327116,0.106792502,0.619758655,0.146423852,1.157686772,0.536540701,1,1,,
0,74.2533,73.9267,43.5733,34.5267,31.74,69.4467,46.7933,8.62,75.4722,48.6611,30.3222,50.8778,6.63333,4.289167621,2.752364968,12.71861054,4.668734901,0.65854152,8.186863123,1.126548698,-0.0349972,-3.826742429,-13.81785462,-2.722327116,0.106792502,0.619758655,-1.211704837,0.297689335,0.229399539,0,1,,
1,77.7059,75.2471,54.5059,40.3765,30.4118,65.9647,48.0118,10.1529,75.4722,48.6611,30.3222,50.8778,6.63333,4.488603608,2.80152478,15.90972715,5.459750707,0.630984026,7.776380589,1.155884085,-0.041220774,-3.826742429,-13.81785462,-2.722327116,0.106792502,0.619758655,2.604095167,13.51898734,0.931124673,1,1,,
0,64.0647,68.5824,49.2294,30.6824,28.1647,68.2412,57.8941,13.6588,75.4722,48.6611,30.3222,50.8778,6.63333,3.700633331,2.553391334,14.36956957,4.14890481,0.584361196,8.044750344,1.393800458,-0.055454728,-3.826742429,-13.81785462,-2.722327116,0.106792502,0.619758655,-0.837582693,0.432755362,0.302044141,0,1,,
0,73.6833,69.3556,43.0278,31.7556,29.4556,66.0333,50.5222,12.2611,75.4722,48.6611,30.3222,50.8778,6.63333,4.256242141,2.582178344,12.55938454,4.294023988,0.611144789,7.784467637,1.216321965,-0.049780066,-3.826742429,-13.81785462,-2.722327116,0.106792502,0.619758655,-2.323555665,0.097924778,0.08919079,0,1,,
1,74.6556,77.2944,53.0278,40.9444,43.6889,76.35,60.95,11.0111,75.4722,48.6611,30.3222,50.8778,6.63333,4.312406078,2.877747806,15.47828454,5.536542712,0.906457297,9.00067245,1.46737125,-0.044705066,-3.826742429,-13.81785462,-2.722327116,0.106792502,0.619758655,3.957238066,52.31264217,0.981242723,1,1,,
1,72.8526,65.8053,49.5,40.7158,30.7,72.9684,66.2105,7.01053,75.4722,48.6611,30.3222,50.8778,6.63333,4.208257586,2.449997124,14.448555,5.505631192,0.6369636,8.602025771,1.594017788,-0.028462752,-3.826742429,-13.81785462,-2.722327116,0.106792502,0.619758655,1.839446305,6.293052861,0.86288321,1,1,,
0,70.4714,65.8357,44.2929,36.7786,29.7143,62.9357,48.4571,9.21429,75.4722,48.6611,30.3222,50.8778,6.63333,4.07070995,2.451128947,12.92865458,4.973239071,0.616512296,7.419300866,1.166604683,-0.037410017,-3.826742429,-13.81785462,-2.722327116,0.106792502,0.619758655,-1.988798629,0.136859746,0.12038402,0,1,,
1,73.3524,73.7571,55.4429,34.1857,33.819,68.6667,64.4476,9.05714,78.2895,46.9421,37.6,60.5579,7.17368,4.237128034,2.74605059,16.18322808,4.62262454,0.701676612,8.094911263,1.55157597,-0.036771988,-3.969590808,-13.32972566,-3.375728,0.127111032,0.670244096,2.285567763,9.831266469,0.907674693,1,1,,
1,69.4333,66.42,48.6467,24.1067,36.52,68.9867,65.2467,13.1333,78.2895,46.9421,37.6,60.5579,7.17368,4.010745141,2.47288302,14.19948526,3.259732081,0.75771696,8.132635103,1.570814303,-0.053321198,-3.969590808,-13.32972566,-3.375728,0.127111032,0.670244096,-1.464164666,0.2312711,0.187831177,0,0,,
1,63.1733,59.3933,39.02,32.1667,32.1867,65.1667,68.6533,12.0133,78.2895,46.9421,37.6,60.5579,7.17368,3.649142501,2.211271952,11.3895478,4.349613341,0.667809652,7.682306763,1.652828198,-0.048773998,-3.969590808,-13.32972566,-3.375728,0.127111032,0.670244096,-4.26110913,0.014106648,0.013910418,0,0,,
1,70.8647,74.2882,48.0824,35.2471,33,69.2471,70.8353,15.9588,78.2895,46.9421,37.6,60.5579,7.17368,4.093428531,2.765823974,14.03477174,4.766148109,0.684684,8.163332878,1.705359848,-0.064792728,-3.969590808,-13.32972566,-3.375728,0.127111032,0.670244096,0.333901009,1.396404906,0.582708249,1,1,,
0,71.865,72.345,51.095,35.645,36.725,73.035,55.89,8.215,78.2895,46.9421,37.6,60.5579,7.17368,4.15120986,2.693476695,14.91411955,4.819952545,0.7619703,8.609877045,1.34555175,-0.0333529,-3.969590808,-13.32972566,-3.375728,0.127111032,0.670244096,1.447949507,4.254381985,0.809682661,1,0,,
