win,pace,ftPercent,2PtPercent,3PtPercent,offRebPercent,defRebPercent,assistPercent,blockPercent,ftPercent,2PtPercent,3PtPercent,offRebPercent,defRebPercent,assistPercent,blockPercent
0,67,73.9,46.8,7.7,31.7,72.7,39.1,0,81,59.5,13.3,27.3,68.3,55.6,8.5
1,66.9,50,45.5,31.8,31.1,77.3,63,9.8,76.9,34.1,44.4,22.7,68.9,73.1,4.5
0,71.1,58.8,47.8,23.1,26.3,57.1,56,8.3,73.3,39.6,38.9,42.9,73.7,50,6.5
0,73.9,70,36.7,33.3,30.4,69.2,64,6.1,81,42.9,35.7,30.8,69.6,73.1,12.2
1,73,69.2,60.4,57.1,43.3,67.7,51.4,2.9,90,62.9,41.4,32.3,56.7,67.6,12.5
1,81.8,79.4,60.5,10,21.1,54.8,42.9,4.1,63.6,42.9,42.1,45.2,78.9,31,4.7
0,68.1,68.8,41.3,40,35.9,61.3,64,10,83.3,55,37.5,38.7,64.1,64.3,6.5
0,71.5,54.5,32.1,37.5,26.1,59,45,13,70,45.7,27.8,41,73.9,57.7,0
0,75.6,63.2,37.5,11.5,34,57.5,55.6,21.4,60,52.4,26.9,42.5,66,55.2,20
1,77.3,79.4,60,42.9,8.3,56.5,54.2,2.4,68.2,46.3,18.2,43.5,91.7,39.1,6.7
0,69.8,70,42.1,50,40,60.5,52,4.1,73.5,46.9,20,39.5,60,46.2,7.9
0,65.3,76.9,41,15.4,26.5,52.5,77.8,26.7,77.3,33.3,30.8,47.5,73.5,42.1,12.8
0,69.1,66.7,43.2,18.2,23.1,65.8,61.9,16.7,91.7,50,23.8,34.2,76.9,57.7,13.6
0,71.6,62.5,31,42.9,15,53.8,52.6,0,94.4,51.9,28.6,46.2,85,37.9,2.4
0,75.3,65,36.6,43.8,20.5,68.2,54.5,2.9,100,61.8,47.1,31.8,79.5,48.3,12.2
1,79.4,72.2,50,41.7,35.3,73.8,55.6,10,70,48,33.3,26.2,64.7,32.3,11.4
0,70.4,72.2,51.2,40,40,67.6,57.7,8.2,76.9,53.1,33.3,32.4,60,50,4.7
1,70.5,77.8,45.1,57.1,21.9,64.7,51.9,7.5,70,52.5,22.2,35.3,78.1,76,7.8
1,69.4,72.2,51.2,46.2,12.9,68.6,59.3,2.1,72.7,42.6,46.2,31.4,87.1,46.2,7.3
0,67.8,68.2,50,20,28.6,56.9,44,16.3,80,34.7,22.2,43.1,71.4,38.1,4.3
0,85.6,92,41.3,57.7,34.2,60.5,50,6.7,75,66.7,37.5,39.5,65.8,81,19.6
0,76,76.9,25.7,21.7,11.1,64.1,21.4,23.7,65.2,42.1,38.1,35.9,88.9,70.8,8.6
0,71.1,80.8,52.5,40,31,59.2,68.6,3.2,77.8,50.8,27.8,40.8,69,86.5,17.5
0,75.2,86.4,45,27.3,22.6,63.4,61.9,15.7,73.7,47.1,8.3,36.6,77.4,56,12.5
0,70.5,73.9,39.5,19,31.1,50,57.1,7.3,78.9,56.1,33.3,50,68.9,66.7,2.3
1,70.5,66.7,38.1,28.6,43.2,73.7,59.1,8.1,100,43.2,10.5,26.3,56.8,50,11.9
