"win","pace","ftPercent","2PtPercent","3PtPercent","offRebPercent","defRebPercent","assistPercent","blockPercent","ftPercent","2PtPercent","3PtPercent","assistPercent","blockPercent"
0,73.9,87.5,27.9,40,15.4,55.3,56.2,5,45.5,55,42.9,64.1,11.6
0,71.5,57.1,43.2,18.2,26.3,75.7,38.1,2.1,58.8,44.7,53.3,55.2,13.6
0,69.2,85.7,57.1,29.2,31.2,46.2,55.6,13.7,78.9,43.1,33.3,70.4,8.6
0,77.4,61.5,45.3,11.1,23.9,54.1,26.9,13.3,75,42.2,52.6,51.7,1.9
0,65.8,70,44.2,28.6,41,46.9,48.1,3.8,66.7,53.8,58.8,60.5,11.5
0,73.7,88.9,37.5,21.4,21.4,52.8,38.1,0,78.9,50.9,42.9,61.8,8.3
0,73,71.4,42,12.5,34,57.6,39.1,3.8,70.6,53.8,50,52.9,8
0,70.6,66.7,41.9,43.8,38.2,63.2,68,0,73.3,76.2,30.8,55.6,7
0,79.4,70,48,33.3,26.2,64.7,32.3,11.4,72.2,50,41.7,55.6,10
1,84,90.9,46.2,52.2,20,61.5,41.7,5.4,50,51.8,47.1,45.9,3.8
0,75.2,57.1,33.3,43.8,31,57.9,37.5,2.3,85.7,38.6,41.2,62.5,19.6
0,80.7,70.8,35.2,31.2,34.7,84,66.7,0,69.6,53.8,63.6,67.9,11.1
0,68.5,50,47.4,31.6,17.6,60,45.8,11.1,86.7,53.3,35.7,44.8,18.4
0,60.9,64.3,45.2,40,19.4,55.6,69.6,8,72.7,50,35.7,53.3,4.8
0,68.3,100,50,53.8,34.4,51.4,42.4,4.3,71.4,43.5,55,80.6,3.8
0,86.2,83.3,42.4,35.1,11.6,54.5,48.1,3.3,100,66.7,30,67.4,3
0,67.5,87.5,38.5,66.7,25,46.2,57.1,8.3,60,50,28.6,62.5,15.4
0,66.4,81.8,38,25,35.4,56.7,45.8,5.1,80,66.7,25,67.7,2
0,70.5,100,43.2,10.5,26.3,56.8,50,11.9,66.7,38.1,28.6,59.1,8.1
